City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,ilulissat,69.2167,-51.1,241.37,69,96,3.92,GL,1674356269
85,saint george,37.1041,-113.5841,277.01,46,0,0.89,US,1674356164
86,nikolskoye,59.7035,30.7861,270.09,98,85,2.37,RU,1674356270
87,saint cloud,45.5608,-94.1625,267.06,98,59,2.03,US,1674356271
88,mezen,65.8522,44.24,269.34,94,79,3.3,RU,1674356272
89,pisco,-13.7,-76.2167,295.18,83,0,4.12,PE,1674356272
90,itarema,-2.9248,-39.9167,297.99,86,51,3.68,BR,1674356303
91,atuona,-9.8,-139.0333,299.21,80,25,8.18,PF,1674356304
92,severo-kurilsk,50.6789,156.125,268.4,75,100,4.12,RU,1674356305
93,tuktoyaktuk,69.4541,-133.0374,245.6,100,100,1.92,CA,1674356305
94,butaritari,3.0707,172.7902,300.63,72,100,7.02,KI,1674356306
95,santa maria,-29.6842,-53.8069,296.76,100,75,1.54,BR,1674356021
96,hilo,19.7297,-155.09,299.97,69,0,2.24,US,1674356307
97,kandrian,-6.2167,149.55,302.08,74,100,2.57,PG,1674356308
98,witu,-2.3889,40.4382,298.53,81,100,2.97,KE,1674356308
99,selma,36.5708,-119.6121,281.5,87,0,1.54,US,1674356309
100,goderich,43.7501,-81.7165,274.21,74,100,5.66,CA,1674356310
101,doka,13.5167,35.7667,294.99,29,6,3.32,SD,1674356310
102,loding,67.3,14.75,279.1,81,100,8.75,NO,1674356311
103,shahr-e babak,30.1165,55.1186,272.82,67,0,0.48,IR,1674356312
104,pevek,69.7008,170.3133,234.44,100,100,2.35,RU,1674356312
105,nanortalik,60.1432,-45.2371,260.91,63,0,6.13,GL,1674356313
106,tutoia,-2.7619,-42.2744,298.83,83,8,4.7,BR,1674356314
107,piacenza,45.0468,9.6994,276.07,73,100,1.27,IT,1674356315
108,scarborough,54.2797,-0.4044,273.66,89,5,4.02,GB,1674356315
109,sao joao da barra,-21.6403,-41.0511,295.82,92,100,4.15,BR,1674356316
110,tautira,-17.7333,-149.15,299.49,70,100,0.19,PF,1674356317
111,tiksi,71.6872,128.8694,245.44,88,100,2.23,RU,1674356318
112,ancud,-41.8697,-73.8203,288.27,96,97,2.31,CL,1674356318
113,kautokeino,69.0125,23.0412,269.22,85,100,7.32,NO,1674356319
114,nouadhibou,20.931,-17.0347,289.14,63,14,9.26,MR,1674356118
115,norman wells,65.282,-126.8329,254.17,78,100,5.66,CA,1674356320
116,bardiyah,31.7561,25.0865,286.42,55,0,2.01,LY,1674356321
117,mar del plata,-38.0023,-57.5575,293.64,79,0,2.68,AR,1674356322
118,wadi musa,30.3222,35.4793,281.45,70,0,1.92,JO,1674356322
119,dicabisagan,17.0818,122.4157,298.61,78,98,2.88,PH,1674356323
120,verkh-usugli,52.7,115.1667,242.64,75,60,0.81,RU,1674356324
121,marsh harbour,26.5412,-77.0636,296.43,81,99,6.54,BS,1674356325
122,cape town,-33.9258,18.4232,293.77,75,40,2.06,ZA,1674356100
123,ternate,0.8,127.4,300.85,75,100,2.82,ID,1674356326
124,caravelas,-17.7125,-39.2481,296.4,96,100,3.41,BR,1674356326
125,airai,-8.9266,125.4092,296.09,62,87,1.38,TL,1674356156
126,chkalovskoye,44.8392,133.0436,251.89,88,61,2.3,RU,1674356327
127,the valley,18.217,-63.0578,298.2,72,0,6.9,AI,1674356215
128,bulungu,-4.55,18.6,293.34,96,95,0.34,CD,1674356328
129,fortuna,40.5982,-124.1573,283.52,93,100,3.09,US,1674356329
130,murgab,37.4966,61.9714,268.08,93,40,2.06,TM,1674356329
131,turukhansk,65.8167,87.9833,252.36,63,100,8.01,RU,1674356330
132,gao,16.6362,1.637,293.93,11,52,3.87,ML,1674356331
133,muisne,0.6,-80.0333,297.65,84,64,2.4,EC,1674356331
134,aswan,24.0934,32.907,286.76,33,0,3.6,EG,1674356332
135,hobart,-42.8794,147.3294,294.85,74,75,5.14,AU,1674356363
136,turan,16.0678,108.2208,298.14,69,40,0.0,VN,1674356363
137,krasnoselkup,65.7,82.4667,254.78,96,100,10.4,RU,1674356364
138,olafsvik,64.8945,-23.7142,271.46,89,100,11.11,IS,1674356365
139,yulara,-25.2406,130.9889,306.9,19,0,3.33,AU,1674356366
140,qandala,11.472,49.8728,295.04,74,1,2.7,SO,1674356367
141,mansa,29.9833,75.3833,283.49,58,4,1.58,IN,1674356367
142,aksarka,66.5606,67.7975,260.8,97,100,0.72,RU,1674356368
143,douentza,14.9951,-2.9517,293.69,16,34,0.84,ML,1674356368
144,necochea,-38.5473,-58.7368,291.2,88,2,4.31,AR,1674356106
145,clyde river,70.4692,-68.5914,241.28,68,100,7.2,CA,1674356369
146,vila franca do campo,37.7167,-25.4333,288.38,74,85,2.64,PT,1674356370
147,dingle,10.9995,122.6711,300.49,78,66,6.42,PH,1674356371
148,torbay,47.6666,-52.7314,273.57,99,100,12.35,CA,1674356371
149,rawatbhata,24.9333,75.5833,288.26,61,0,1.22,IN,1674356346
150,santa lucia,27.9117,-15.5407,286.77,77,75,7.2,ES,1674356217
151,saskylakh,71.9167,114.0833,236.29,92,99,1.51,RU,1674356374
152,kichera,55.9375,110.0997,241.01,76,10,1.38,RU,1674356376
153,gari,59.4307,62.3497,268.55,92,100,3.71,RU,1674356377
154,black diamond,47.3087,-122.0032,277.74,88,100,5.81,US,1674356377
155,victoria,22.2855,114.1577,294.4,80,91,1.79,HK,1674356228
156,port alfred,-33.5906,26.891,294.36,96,100,2.24,ZA,1674356378
157,la paz,-16.5,-68.15,285.14,57,20,2.57,BO,1674356379
158,praia da vitoria,38.7333,-27.0667,289.13,82,75,5.88,PT,1674356380
159,ust-tsilma,65.441,52.1498,264.62,96,88,2.88,RU,1674356380
160,olavarria,-36.8927,-60.3225,292.0,74,28,2.65,AR,1674356102
161,husavik,66.0449,-17.3389,273.13,77,100,5.4,IS,1674356240
162,chabahar,25.2919,60.643,288.58,36,0,5.15,IR,1674356382
163,tyumentsevo,53.3224,81.498,240.43,98,20,1.93,RU,1674356382
164,makokou,0.5738,12.8642,294.38,93,100,1.26,GA,1674356383
165,hay river,60.8156,-115.7999,273.14,80,40,4.12,CA,1674356384
166,takoradi,4.8845,-1.7554,299.45,86,18,3.55,GH,1674356384
167,tawang,27.5833,91.8667,278.2,43,2,1.38,IN,1674356385
168,upernavik,72.7868,-56.1549,241.53,93,80,2.54,GL,1674356385
169,hermanus,-34.4187,19.2345,290.82,81,87,1.83,ZA,1674356386
170,banda aceh,5.5577,95.3222,300.02,77,88,3.63,ID,1674356387
171,sun valley,39.5963,-119.776,271.72,72,0,1.34,US,1674356363
172,abu samrah,35.3029,37.1841,280.79,75,0,1.92,SY,1674356388
173,axim,4.8699,-2.2405,299.55,83,24,2.89,GH,1674356388
174,lebu,-37.6167,-73.65,288.08,85,1,5.3,CL,1674356389
175,san patricio,28.017,-97.5169,289.73,87,4,2.68,US,1674356390
176,tokur,53.1333,132.9,242.19,89,100,0.06,RU,1674356390
177,taywarah,33.35,64.4167,256.5,89,10,2.02,AF,1674356391
178,tupiza,-21.45,-65.7167,288.79,52,100,1.35,BO,1674356391
179,san andres,12.5847,-81.7006,300.16,74,20,6.17,CO,1674356292
180,nuuk,64.1835,-51.7216,265.74,87,100,17.94,GL,1674356393
181,naron,43.5167,-8.1528,280.95,92,19,2.53,ES,1674356393
182,pangnirtung,66.1451,-65.7125,256.61,98,100,1.18,CA,1674356425
183,kholodnyy,62.7167,147.95,246.8,96,100,2.93,RU,1674356426
184,freeport,40.6576,-73.5832,276.91,66,100,2.06,US,1674356427
185,carnarvon,-24.8667,113.6333,299.07,70,60,6.74,AU,1674356428
186,vila velha,-20.3297,-40.2925,298.12,98,100,1.03,BR,1674356396
187,ponta do sol,32.6667,-17.1,290.93,81,54,3.39,PT,1674356431
188,chuy,-33.6971,-53.4616,293.7,93,48,2.16,UY,1674356432
189,ribeira grande,38.5167,-28.7,289.69,86,7,5.81,PT,1674356433
190,najran,17.4924,44.1277,284.51,40,0,0.4,SA,1674356231
191,tura,25.5198,90.2201,293.78,36,0,0.26,IN,1674356434
192,iracoubo,5.4802,-53.2011,297.21,90,77,3.78,GF,1674356435
193,bethel,41.3712,-73.414,274.83,75,40,0.33,US,1674356436
194,ishikari,43.2397,141.3539,270.27,73,99,11.13,JP,1674356436
195,lehigh acres,26.6254,-81.6248,295.34,86,97,2.19,US,1674356311
196,taonan,45.3333,122.7833,252.19,71,100,5.39,CN,1674356438
197,mongoumba,3.6415,18.5936,292.72,37,100,1.12,CF,1674356438
198,tanda,26.55,82.65,289.34,59,4,2.0,IN,1674356439
199,bandundu,-3.3167,17.3667,294.6,94,100,0.76,CD,1674356440
200,dakar,14.6937,-17.4441,290.64,67,1,6.9,SN,1674356364
201,monrovia,6.3005,-10.7969,299.18,84,100,3.4,LR,1674356441
202,kuandian,40.7286,124.7847,268.46,83,100,0.22,CN,1674356442
203,margate,51.3813,1.3862,278.54,78,18,1.79,GB,1674356443
204,cabo san lucas,22.8909,-109.9124,290.71,62,0,0.76,MX,1674356364
205,gamba,-2.65,10.0,297.91,88,100,1.37,GA,1674356444
206,ponto novo,-10.8628,-40.1336,296.6,65,62,1.63,BR,1674356444
207,erzincan,39.75,39.5,274.73,56,0,1.24,TR,1674356445
208,katsuura,35.1333,140.3,278.09,93,100,4.97,JP,1674356243
209,pueblo,38.2545,-104.6091,271.57,67,100,2.24,US,1674356446
210,nanchong,30.7951,106.0847,281.39,69,82,0.63,CN,1674356422
211,hami,42.8,93.45,262.81,47,1,5.11,CN,1674356447
212,strathpeffer,57.588,-4.5382,278.72,98,95,2.57,GB,1674356448
213,srednekolymsk,67.45,153.6833,232.12,100,100,1.63,RU,1674356449
214,cidreira,-30.1811,-50.2056,295.51,90,27,1.76,BR,1674356449
215,bengkulu,-3.8004,102.2655,300.86,70,85,1.72,ID,1674356335
216,zonguldak,41.25,31.8333,278.83,64,6,2.42,TR,1674356450
217,kargopol,61.5071,38.9456,256.64,100,100,1.5,RU,1674356451
218,kodiak,57.79,-152.4072,270.61,73,100,2.76,US,1674356327
219,los llanos de aridane,28.6585,-17.9182,289.33,72,75,5.14,ES,1674356452
220,saint-philippe,-21.3585,55.7679,298.92,82,88,3.89,RE,1674356453
221,karonga,-9.9333,33.9333,295.09,87,100,2.37,MW,1674356454
222,seoul,37.5683,126.9778,273.84,55,100,3.09,KR,1674355808
223,vao,-22.6667,167.4833,298.95,89,86,11.68,NC,1674356456
224,tonstad,58.6626,6.7169,268.26,96,70,1.69,NO,1674356456
225,taoudenni,22.6783,-3.9836,288.02,14,0,4.34,ML,1674356457
226,half moon bay,37.4636,-122.4286,284.6,63,0,2.57,US,1674356412
227,sinop,41.7711,34.8709,279.72,62,0,3.21,TR,1674356489
228,andenes,69.3143,16.1194,278.14,75,100,11.32,NO,1674356476
229,ciudad bolivar,8.1222,-63.5497,296.02,72,64,4.6,VE,1674356490
230,saldanha,-33.0117,17.9442,291.38,91,45,2.12,ZA,1674356491
231,bethanien,-26.502,17.1583,294.91,40,48,2.86,NA,1674356492
232,kiama,-34.6833,150.8667,293.85,88,100,0.45,AU,1674356492
233,muzaffarnagar,29.4667,77.6833,285.53,64,0,1.12,IN,1674356493
234,grand gaube,-20.0064,57.6608,298.92,88,99,4.81,MU,1674356494
235,constitucion,-35.3333,-72.4167,287.32,83,0,4.99,CL,1674356495
236,sao francisco do sul,-26.2433,-48.6381,295.91,93,88,1.39,BR,1674356495
237,luderitz,-26.6481,15.1594,291.03,76,5,6.84,NA,1674356497
238,san vicente,-26.6167,-54.1333,292.91,86,81,1.5,AR,1674356243
239,cayenne,4.9333,-52.3333,297.17,94,100,2.06,GF,1674356498
240,cherskiy,68.75,161.3,229.19,100,73,1.59,RU,1674356499
241,farmington,36.7281,-108.2187,270.25,93,1,4.02,US,1674356295
242,pangkalanbuun,-2.6833,111.6167,300.59,79,92,1.56,ID,1674356500
243,talara,-4.5772,-81.2719,294.88,81,6,4.53,PE,1674356501
244,ojinaga,29.5667,-104.4167,282.68,23,0,4.12,MX,1674356502
245,canico,32.6333,-16.85,290.93,87,40,8.23,PT,1674356502
246,lagoa,39.05,-27.9833,288.2,81,5,9.83,PT,1674356503
247,castro,-24.7911,-50.0119,291.54,86,76,0.84,BR,1674356504
248,grindavik,63.8424,-22.4338,274.41,75,75,14.4,IS,1674356504
249,shahreza,32.0339,51.8794,271.14,76,3,1.09,IR,1674356505
250,waitati,-45.75,170.5667,290.26,71,99,0.69,NZ,1674356506
251,esperance,-33.8667,121.9,296.69,50,8,5.59,AU,1674356242
252,wenling,28.3669,121.36,287.48,78,66,2.23,CN,1674356507
253,ures,29.4333,-110.4,286.29,28,0,1.25,MX,1674356508
254,kungurtug,50.5994,97.5228,241.96,98,100,0.53,RU,1674356508
255,saint-georges,12.0564,-61.7485,297.45,82,100,6.48,GD,1674356463
256,jiayuguan,39.8167,98.3,262.05,53,100,4.57,CN,1674356509
257,moose factory,51.2585,-80.6094,266.09,94,100,3.25,CA,1674356510
258,mount gambier,-37.8333,140.7667,295.39,50,3,5.7,AU,1674356511
259,brokopondo,4.75,-55.1667,296.47,92,98,3.46,SR,1674356511
260,cap malheureux,-19.9842,57.6142,298.97,88,100,4.96,MU,1674356512
261,vredendal,-31.6683,18.5012,289.14,94,2,1.56,ZA,1674356512
262,grahamstown,-33.3042,26.5328,290.9,95,91,5.43,ZA,1674356415
263,shakhtinsk,49.71,72.5872,248.31,100,98,1.54,KZ,1674356514
264,oktyabrskiy,54.4815,53.471,258.32,87,99,2.53,RU,1674356515
265,lethem,3.3803,-59.7968,297.35,78,58,5.06,GY,1674356516
266,ahuimanu,21.4447,-157.8378,299.37,69,13,2.24,US,1674356516
267,pingdingshan,33.7385,113.3012,279.99,36,100,2.01,CN,1674356512
268,labytnangi,66.6572,66.4183,264.13,89,100,3.17,RU,1674356517
269,fort wellington,6.4,-57.6,296.69,91,61,3.35,GY,1674356518
270,kruisfontein,-34.0033,24.7314,295.31,92,86,5.59,ZA,1674356518
271,deputatskiy,69.3,139.9,235.63,95,89,2.95,RU,1674356519
272,naryan-mar,67.6713,53.087,269.29,95,99,6.61,RU,1674356520
273,vardo,70.3705,31.1107,272.01,74,100,13.54,NO,1674356550
274,gushikawa,26.3544,127.8686,296.72,64,75,9.77,JP,1674356552
275,rio grande,-32.035,-52.0986,296.23,91,100,4.32,BR,1674356552
276,quatre cocos,-20.2078,57.7625,298.76,81,86,3.03,MU,1674356553
277,luklukan,14.3254,122.7124,298.56,88,79,5.78,PH,1674356554
278,san ignacio,17.1561,-89.0714,295.23,94,0,2.06,BZ,1674356554
279,sawtell,-30.3833,153.1,297.16,69,100,3.6,AU,1674356555
280,didsbury,53.417,-2.2315,274.02,86,97,2.06,GB,1674356556
281,teahupoo,-17.8333,-149.2667,299.13,70,100,0.5,PF,1674356556
282,santiago,-33.4569,-70.6483,296.62,44,0,1.53,CL,1674356486
283,mersing,2.4312,103.8405,299.52,83,81,2.96,MY,1674356558
284,gibara,21.1097,-76.1317,295.77,82,2,4.57,CU,1674356558
285,sale,34.0389,-6.8166,285.79,100,75,0.0,MA,1674356502
286,ishigaki,24.3448,124.1572,295.61,76,46,8.82,JP,1674356559
287,kot samaba,28.5522,70.4684,284.31,47,1,3.16,PK,1674356560
288,touros,-5.1989,-35.4608,299.43,80,3,4.79,BR,1674356378
289,castle rock,39.3722,-104.8561,268.14,85,96,1.79,US,1674356312
290,banska stiavnica,48.4486,18.91,269.89,88,98,1.98,SK,1674356562
291,talnakh,69.4865,88.3972,253.82,65,100,6.66,RU,1674356563
292,sibolga,1.7427,98.7792,301.28,68,98,0.76,ID,1674356564
293,gat,31.61,34.7642,287.26,77,0,1.17,IL,1674356564
294,tahta,26.7693,31.5021,283.55,57,0,3.58,EG,1674356566
295,arusha,-3.3667,36.6833,290.84,63,100,1.27,TZ,1674356566
296,gisborne,-38.6533,178.0042,294.71,75,94,2.6,NZ,1674356567
297,garowe,8.4054,48.4845,291.0,74,65,3.9,SO,1674356568
298,lavrentiya,65.5833,-171.0,241.93,93,20,2.29,RU,1674356410
299,santa clara,22.4,-79.9667,294.96,94,20,2.06,CU,1674356569
300,palana,59.1167,159.9667,249.63,96,100,2.91,RU,1674356569
301,visby,57.6409,18.296,273.74,86,100,5.14,SE,1674356570
302,makakilo city,21.3469,-158.0858,298.71,68,75,3.6,US,1674356474
303,porbandar,21.6422,69.6093,289.99,59,0,5.08,IN,1674356411
304,murwillumbah,-28.3167,153.4,300.92,66,75,5.14,AU,1674356571
305,hambantota,6.1241,81.1185,296.59,91,100,7.35,LK,1674356430
306,faanui,-16.4833,-151.75,300.39,64,100,1.97,PF,1674356573
307,san joaquin,37.9333,-121.3011,281.64,82,0,2.06,US,1674356573
308,alyangula,-13.8483,136.4192,304.39,61,60,7.42,AU,1674356574
309,salaga,8.5508,-0.5188,300.04,44,7,1.92,GH,1674356575
310,white rock,49.0164,-122.8026,277.39,98,100,2.68,CA,1674356291
311,batticaloa,7.7102,81.6924,296.57,91,100,2.9,LK,1674356576
312,provideniya,64.3833,-173.3,246.15,85,26,4.09,RU,1674356577
313,terrace,54.5163,-128.6035,270.39,96,47,0.51,CA,1674356434
314,dwarka,22.2394,68.9678,291.46,51,0,6.53,IN,1674356578
315,chokurdakh,70.6333,147.9167,233.69,100,99,3.07,RU,1674356578
316,natal,-5.795,-35.2094,299.51,83,20,2.57,BR,1674356579
317,am timan,11.0297,20.2827,295.76,21,94,3.06,TD,1674356580
318,progreso,21.2833,-89.6667,297.21,80,49,4.48,MX,1674356611
319,yar-sale,66.8333,70.8333,263.78,96,100,1.93,RU,1674356612
320,maniitsoq,65.4167,-52.9,259.73,95,100,11.86,GL,1674356613
321,beira,-19.8436,34.8389,298.2,100,40,1.54,MZ,1674356614
322,otradnoye,59.7775,30.8181,270.18,97,84,2.38,RU,1674356426
323,carutapera,-1.195,-46.02,297.34,92,97,2.46,BR,1674356615
324,omsukchan,62.5333,155.8,235.93,100,97,2.73,RU,1674356616
325,kieta,-6.2167,155.6333,303.02,63,100,1.95,PG,1674356617
326,komsomolskiy,40.4272,71.7189,264.55,79,99,2.06,UZ,1674356617
327,klaksvik,62.2266,-6.589,281.66,91,100,9.89,FO,1674356618
328,sabang,5.8933,95.3214,299.86,77,76,6.67,ID,1674356619
329,dunedin,-45.8742,170.5036,290.26,71,100,1.79,NZ,1674356620
330,ust-ilimsk,58.0006,102.6619,234.85,95,69,1.14,RU,1674356620
331,bergerac,44.8333,0.5,272.52,86,0,3.09,FR,1674356621
332,novooleksiyivka,46.2269,34.6428,274.65,93,0,4.52,UA,1674356622
333,yumen,40.2833,97.2,262.08,83,100,9.04,CN,1674356622
334,tabou,4.423,-7.3528,298.9,85,100,3.54,CI,1674356623
335,el fuerte,26.4189,-108.6194,288.64,37,0,1.69,MX,1674356624
336,biltine,14.5333,20.9167,294.07,21,1,2.38,TD,1674356625
337,chissamba,-12.1667,17.3333,290.68,71,100,2.55,AO,1674356625
338,naze,28.3667,129.4833,289.65,70,100,6.46,JP,1674356626
339,trincomalee,8.5711,81.2335,298.87,76,100,5.43,LK,1674356627
340,sao simao,-21.4792,-47.5508,294.4,99,100,1.25,BR,1674356628
341,arenapolis,-14.4503,-56.8461,295.61,94,97,1.89,BR,1674356628
342,lasa,46.6166,10.7002,266.33,89,100,2.55,IT,1674356629
343,meulaboh,4.1363,96.1285,299.85,72,99,1.07,ID,1674356629
344,orcopampa,-15.2661,-72.3417,279.68,94,100,0.78,PE,1674356630
345,hasaki,35.7333,140.8333,280.53,66,100,3.3,JP,1674356451
346,ngunguru,-35.6167,174.5,293.82,73,31,1.97,NZ,1674356631
347,santa fe,-31.6333,-60.7,300.37,76,0,0.89,AR,1674356632
348,tamiahua,21.2667,-97.45,294.72,95,3,2.9,MX,1674356632
349,marawi,7.9986,124.2928,294.25,91,100,1.69,PH,1674356633
350,portland,45.5234,-122.6762,279.6,89,88,2.68,US,1674356079
351,mount isa,-20.7333,139.5,308.02,15,68,3.6,AU,1674356634
352,zarautz,43.2844,-2.1699,275.4,73,8,1.95,ES,1674356635
353,sahuaripa,29.05,-109.2333,284.33,32,0,0.75,MX,1674356636
